Title,Labels,Reviewers,Assignees,Comments,Opened time,Closed time,Number of commits,Number of changed files,Number of participants 
Issue#3447 Moe Sync,"cla: yes, internal-sync",,,"ronshapiro: This code has been reviewed and submitted internally. Feel free to discuss on the PR and we can submit follow-up changes as necessary.  Override a method instead of special-casing it.
 f6bd487  Mitigate https://github.com//issues/3223 by guessing that Sets are already deduplicated and making ""half and half"" expectations about un-duplicated inputs in ImmutableSet creation.
 RELNOTES=Mitigate #3223. 506432b 



              The text was updated successfully, but these errors were encountered:
              ",2019-04-18 19:51:43,2019-04-29 15:41:43,2,3,5
Issue#3448 Add java.util.UUID to ArbitraryInstances,"package=testing, type=addition, status=triaged, cla: yes",cpovirk,cpovirk,"petedmarsh: I hope this counts as a trivial change. This adds java.util.UUID to ArbitratyInstances - I have recently been working on a project where we used UUID and NullPointerTester and we've often had to set a default manually, this should avoid that.  petedmarsh: The build failure seems to be a problem with the build/travis rather than this change (it happens with other PRs too), but happy to make changes if that's not the case.  ",2019-04-27 18:26:41,2019-05-08 14:35:08,1,2,4
Issue#3449 Moe Sync,"cla: yes, internal-sync",,,"ronshapiro: This code has been reviewed and submitted internally. Feel free to discuss on the PR and we can submit follow-up changes as necessary.  Override a method instead of special-casing it.
 75e7b29  Mitigate https://github.com//issues/3223 by guessing that Sets are already deduplicated and making ""half and half"" expectations about un-duplicated inputs in ImmutableSet creation.
 RELNOTES=Mitigate #3223. f1aa0f6  Update ValueGraphBuilder documentation with option of building an immutable graph.
 5879ed3  Update NetworkBuilder documentation with option of building an immutable graph.
 cdb288c  Enable GoodTime-API
 b34102f  Fix misspelled Sec-WebSocket-Version header.
 The correct name is Sec-WebSocket-Version, not Sec-WebSocket-Versions. 86ffa6e  Match the casing of the WebSocket HTTP headers to the RFC directly.
 RELNOTES=Match the casing of the WebSocket HTTP headers to the RFC directly. 517b596  Update Public Suffix data.
 646d0e0  Remove outdated references to the ""next release of Guava"".
 f2591b5  Update to Truth 0.44.
 b61237c  Migrate from isNotSameAs to isNotSameInstanceAs.
 The two behave identically, and isNotSameAs is being removed. 8c4225f 



              The text was updated successfully, but these errors were encountered:
              ",2019-04-29 15:19:18,2019-04-29 15:41:56,11,34,11
Issue#3453 Add testlib readme,"package=testing, status=triaged, type=documentation, cla: yes",,cpovirk,"elharo: 
No description provided.
 



              The text was updated successfully, but these errors were encountered:
              ",2019-05-04 16:53:29,2019-10-02 17:48:45,2,1,4
Issue#3454 Upgrade maven compiler plugin,"status=triaged, cla: yes",,,"WilliamCollishaw: Package upgraded from 3.8.0 to 3.8.1  googlebot: Thanks for your pull request. It looks like this may be your first contribution to a Google open source project (if not, look below for help). Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA). 📝 Please visit https://cla.developers.google.com/ to sign. Once you've signed (or fixed any issues), please reply here (e.g. I signed it!) and we'll verify it. ℹ️ Googlers: Go here for more info.  WilliamCollishaw: I signed it!  googlebot: CLAs look good, thanks! ℹ️ Googlers: Go here for more info.  cgdecker: Thanks, this should be submitted internally soon and will then be synced out.  ",2019-05-05 05:50:53,2019-05-08 14:35:08,3,2,3
Issue#3455 Moe Sync,"cla: yes, internal-sync",,,"ronshapiro: This code has been reviewed and submitted internally. Feel free to discuss on the PR and we can submit follow-up changes as necessary.  Fixed some links.
 The comparisons to the Android Hash* classes haven't been accurate since at least CL 81367572, so I've removed them entirely. Fixes #3398 1dc514b  Migrate from assertThat(foo).named(""foo"") to assertWithMessage(""foo"").that(foo).
 (The exact change is slightly different in some cases, like when using custom subjects or check(), but it's always a migration from named(...) to [assert]WithMessage(...).) named(...) is being removed. This CL may slightly modify the failure messages produced, but all the old information will still be present. e70a2f9  Migrate from is(Not)SameAs to is(Not)SameInstanceAs.
 They behave identically, and the old names are being removed. Open-source note: The new methods are available in Truth as of version 0.44. c192567  A few more doc tweaks, caught by @jbduncan in f2591b5
 414084c  Remove CheckedFuture from Guava.
 RELNOTES=Removed deprecated CheckedFuture and related utilities. cae1b91  Migrate from assertThat(foo).named(""foo"") to assertWithMessage(""foo"").that(foo).
 (The exact change is slightly different in some cases, like when using custom subjects or check(), but it's always a migration from named(...) to [assert]WithMessage(...).) named(...) is being removed. This CL may slightly modify the failure messages produced, but all the old information will still be present. 1f5c478 



              The text was updated successfully, but these errors were encountered:
              googlebot: So there's good news and bad news. 👍 The good news is that everyone that needs to sign a CLA (the pull request submitter and all commit authors) have done so.  Everything is all good there. 😕 The bad news is that it appears that one or more commits were authored or co-authored by someone other than the pull request submitter.  We need to confirm that all authors are ok with their commits being contributed to this project.  Please have them confirm that here in the pull request. Note to project maintainer: This is a terminal state, meaning the cla/google commit status will not change from this state. It's up to you to confirm consent of all the commit author(s), set the cla label to yes (if enabled on your project), and then merge this pull request when appropriate. ℹ️ Googlers: Go here for more info.  googlebot: A Googler has manually verified that the CLAs look good. (Googler, please make sure the reason for overriding the CLA status is clearly documented in these comments.) ℹ️ Googlers: Go here for more info.  ",2019-05-05 16:17:26,2019-05-05 18:02:36,6,87,4
Issue#3456 Upgrade maven dependency plugin - security upgrade,"status=triaged, cla: yes",,cgdecker,"WilliamCollishaw: Maven dependency plugin has a dependency on plexus-archiver.
Plexus-archiver is vulnerable to the Zip Slip vulnerability (CVE-2018-1002200) in versions prior to 3.4.1 & 3.6.0 (reference).
Maven-dependency-plugin version 3.1.1 upgrades to plexus-archiver 3.6.0
Versions bypassed: 



              The text was updated successfully, but these errors were encountered:
              cgdecker: Thanks, this should be submitted internally soon and will then be synced out.  ",2019-05-05 19:54:27,2019-05-07 15:02:57,1,2,3
Issue#3459 Moe Sync,"cla: yes, internal-sync",,,"ronshapiro: This code has been reviewed and submitted internally. Feel free to discuss on the PR and we can submit follow-up changes as necessary.  Upgrade maven dependency plugin.
 Fixes #3456 2ef701f 



              The text was updated successfully, but these errors were encountered:
              googlebot: So there's good news and bad news. 👍 The good news is that everyone that needs to sign a CLA (the pull request submitter and all commit authors) have done so.  Everything is all good there. 😕 The bad news is that it appears that one or more commits were authored or co-authored by someone other than the pull request submitter.  We need to confirm that all authors are ok with their commits being contributed to this project.  Please have them confirm that here in the pull request. Note to project maintainer: This is a terminal state, meaning the cla/google commit status will not change from this state. It's up to you to confirm consent of all the commit author(s), set the cla label to yes (if enabled on your project), and then merge this pull request when appropriate. ℹ️ Googlers: Go here for more info.  googlebot: A Googler has manually verified that the CLAs look good. (Googler, please make sure the reason for overriding the CLA status is clearly documented in these comments.) ℹ️ Googlers: Go here for more info.  ",2019-05-07 14:21:31,2019-05-07 15:02:57,1,2,3
Issue#3463 Moe Sync,"cla: yes, internal-sync",,,"ronshapiro: This code has been reviewed and submitted internally. Feel free to discuss on the PR and we can submit follow-up changes as necessary.  Add app.link to the Public Suffix List.
 This is a temporary solution to stop app.link affiliated websites being grouped together in the Password Manager UI. We will reach out to the owners of app.link and work with them to update the public version of the PSL. 8268487  Add java.util.UUID to ArbitraryInstances
 Fixes #3448 ad3d9ad  Upgrade compiler plugin.
 Fixes #3454. 7092295  Update versions of some Guava dependencies.
 Fixes #3405 ed830d3 



              The text was updated successfully, but these errors were encountered:
              googlebot: So there's good news and bad news. 👍 The good news is that everyone that needs to sign a CLA (the pull request submitter and all commit authors) have done so.  Everything is all good there. 😕 The bad news is that it appears that one or more commits were authored or co-authored by someone other than the pull request submitter.  We need to confirm that all authors are ok with their commits being contributed to this project.  Please have them confirm that here in the pull request. Note to project maintainer: This is a terminal state, meaning the cla/google commit status will not change from this state. It's up to you to confirm consent of all the commit author(s), set the cla label to yes (if enabled on your project), and then merge this pull request when appropriate. ℹ️ Googlers: Go here for more info.  googlebot: A Googler has manually verified that the CLAs look good. (Googler, please make sure the reason for overriding the CLA status is clearly documented in these comments.) ℹ️ Googlers: Go here for more info.  ",2019-05-08 13:56:20,2019-05-08 14:35:09,4,8,6
Issue#3465 Define project build source encoding as UTF-8,"status=triaged, cla: yes",,ronshapiro,"WilliamCollishaw: At build time the following warning appears:
[WARNING] Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!  Defining a project build source encoding removes the warning and can prevent platform dependent issues in the future. Fix summary by maven here and here  ronshapiro: Thanks for all of the fixes!  ",2019-05-09 23:38:46,2019-05-28 14:48:48,2,2,3
Issue#3466 Upgrade maven source plugin from 2.1.2 to 3.1.0,"status=fixed, cla: yes, P3",,cgdecker,"WilliamCollishaw: Upgrade maven source plugin from 2.1.2 to 3.0.1
Define the version as a maven variable due to the version being referenced more than once
3.0.1 is the latest version and has been available since June, 2016 so appears very stable.
EDIT:
Upgrade maven source plugin from 2.1.2 to 3.1.0
After three years with no change, 3.1.0 was release with minor changes. Versions bypassed:  WilliamCollishaw: Updated original description after bumping up one more version  cgdecker: Submitting this change internally, should be synced out later this week.  ",2019-05-10 04:40:04,2019-10-02 21:34:36,6,2,4
Issue#3470 ArrayTable - Implement eraseRow and eraseColumn,"type=addition, package=collect, status=triaged, cla: yes, P4",,,"WilliamCollishaw: Work completed fulfills a //TODO left in the ArrayTable class:
// TODO(jlevy): Add eraseRow and eraseColumn methods? 



              The text was updated successfully, but these errors were encountered:
              ronshapiro: FYI that we'll want to API review this to see how common this would be used.  erikgarduo: Why the issue is still open ?  ",2019-05-13 04:28:51,,9,4,6
"Issue#3471 Fix ""Apache License, Version 2.0"" spelling","status=triaged, cla: yes",,ronshapiro,"don-vip: There are many Java libraries licensed under ""Apache License, Version 2.0"" that do not use its official spelling.
This causes issues like https://issues.apache.org/jira/browse/MPIR-382: with every library defining its own spelling, it's difficult in large projects to have a clear view of all licenses in use.
This PR changes the license spelling to the official one, as advised by Maven developers.  ronshapiro: Thanks! I'll import this  WilliamCollishaw: This license naming format is used in multiple pom files.
  don-vip: Thanks! I have amended my commit.  ronshapiro: Whoops I already submitted this. I'll submit another.  ronshapiro: As an aside - what if you grouped licenses based on URL and not based on title? Wouldn't that dedupe well?  ",2019-05-13 21:12:18,2019-05-28 14:48:48,1,4,4
Issue#3472 change keyToKeyList from HashMap to LinkedHashMap,"package=collect, status=invalid, cla: no",,kluever,"aikawarazu: in  constructor method ,keyToKeyList was set as HashMap ,keyToKeyList should keep insertion-order   .
like in readObject()  method do : keyToKeyList = Maps.newLinkedHashMap();  googlebot: Thanks for your pull request. It looks like this may be your first contribution to a Google open source project (if not, look below for help). Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA). 📝 Please visit https://cla.developers.google.com/ to sign. Once you've signed (or fixed any issues), please reply here (e.g. I signed it!) and we'll verify it. ℹ️ Googlers: Go here for more info.  lowasser: Can you include a test of the public API that fails before and passes after this change?  ronshapiro: Please make sure to sign the CLA - without that, we cannot accept any contributions.  cgdecker: The CLA isn't signed and no rationale was provided for making this change, so I'm closing it.  ",2019-05-14 06:11:21,2019-10-02 19:31:08,1,1,6
Issue#3474 Moe Sync,"cla: yes, internal-sync",,,"ronshapiro: This code has been reviewed and submitted internally. Feel free to discuss on the PR and we can submit follow-up changes as necessary.  Add FakeTicker.advance(Duration) and setAutoIncrementStep(Duration).
 #goodtime RELNOTES=Add FakeTicker.advance(Duration) and setAutoIncrementStep(Duration). dcb5d43  Add Queues.drain(BlockingQueue, Collection, int, Duration) and drainUninterruptibly(BlockingQueue, Collection, int, Duration).
 RELNOTES=add Duration-based Queues drain methods. 5963112  Add a new header field ""CDN-Loop"" to httputils.
 More details: https://tools.ietf.org/html/rfc8586 RELNOTES=Add CDN-Loop header to library according to RFC8586. d9f85b4  Remove app.link from the Public Suffix List.
 8fa5570  ",2019-05-14 21:43:13,2019-05-15 17:04:39,4,10,4
Issue#3475 Merge pull request #1 from google/master,cla: no,,,"runzhigege: 更新 



              The text was updated successfully, but these errors were encountered:
              googlebot: Thanks for your pull request. It looks like this may be your first contribution to a Google open source project (if not, look below for help). Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA). 📝 Please visit https://cla.developers.google.com/ to sign. Once you've signed (or fixed any issues), please reply here (e.g. I signed it!) and we'll verify it. ℹ️ Googlers: Go here for more info.  ronshapiro: We can't view this without having you sign the CLA. But given that github says there are zero files changed, it looks like this is a mistake. If not, please comment and we'll reopen  ",2019-05-16 07:57:05,2019-05-20 17:55:12,2,0,3
Issue#3476 Upgrade Maven Javadoc Plugin to 3.1.0,"status=triaged, cla: yes",cpovirk,ronshapiro,"WilliamCollishaw: Upgrade Maven Javadoc Plugin from 3.0.1 to 3.1.0
Additionally added wildcard syntax to the list of excluded package names due to failing without it after the upgrade Comment from @njhill in PR #3370 notes a javadoc plugin issue with JDK 11 that should be resolved in this most recent version.  ronshapiro: thanks! I'll import this shortly!  cpovirk: This PR produces a change in behavior: With this PR applied, the generated Javadoc contains entries for com.google.common.base.internal, com.google.thirdparty.publicsuffix, and jdk. Perhaps we need the .* only when that exact package doesn't exist? Maybe you can find a way that works, but it feels unfortunate to have to further hardcode which packages exist. I guess we may need to cross this bridge eventually, unless we can hope that a future change to the Maven Javadoc Plugin will undo this change?  WilliamCollishaw: Good catch, it looks like I can use the wildcard :* instead of .* which will exclude those exact packages, reference.
I will try test this later.  WilliamCollishaw: Good catch, it looks like I can use the wildcard :* instead of .* which will exclude those exact packages, reference.
I will try test this later. Please ignore this comment, i misread the documentation  WilliamCollishaw: @cpovirk this change in behavior is fixed in #3478  WilliamCollishaw: Butchered this branch, reopened new PR #3478  ",2019-05-17 00:02:22,2019-05-21 05:46:36,3,4,4
Issue#3478 Upgrade Maven Javadoc Plugin from 3.0.1 to 3.1.0,"type=enhancement, status=triaged, cla: yes, P2, platform=java11",,,"WilliamCollishaw: Recreated PR from #3476
Upgrade Maven Javadoc Plugin from 3.0.1 to 3.1.0
Additionally added wildcard syntax to the list of excluded package names due to failing without it after the upgrade Comment from @njhill in PR #3370 notes a javadoc plugin issue with JDK 11 that should be resolved in this most recent version. The functionality as described in the excludePackageNames documentation  does not work as explained which did previously work in 3.0.1. I raised MJAVADOC-605, which duplicated MJAVADOC-584 explaining the issue and have included a work around for the issue which significantly increased the size of the excludePackageNames list.  netdpb: Cool. Merging internally.  cpovirk: Yes, thank you!  qingliaowu: Cool  ",2019-05-21 05:45:33,2019-05-28 14:48:48,1,4,5
Issue#3481 Fix javadoc links in the Graph package.,"type=api-docs, status=triaged, status=in-progress, cla: yes, package=graph",,netdpb,"WilliamCollishaw: The following warning was observed when building with JDK 8: Did not edit the ImmutableTable link due to it being fully functional in JDK 11 and it was previously discussed in #2908 The resolved links were not functional in either JDK 8 or 11 prior to this fix. 



              The text was updated successfully, but these errors were encountered:
              netdpb: Thanks!  jrtom: As the person who wrote the Javadoc, thanks for catching that.  :)  WilliamCollishaw: @ronshapiro the author for this PR and #3478 looks wrong.
 Also Github doesn't recognize this account as the author, #3465 looks correct though :)
Thanks for the merges.  ronshapiro: Looks like @netdpb used the wrong syntax for this. I'm not sure if there's anything we can do to retroactively fix this :-/  WilliamCollishaw: Looks like @netdpb used the wrong syntax for this. I'm not sure if there's anything we can do to retroactively fix this :-/ It can be done with a rebase (reference). Not sure how much work that is on your end though :)  netdpb: I'm sorry about that, @WilliamCollishaw.  WilliamCollishaw: I'm sorry about that, @WilliamCollishaw. No worries  ",2019-05-24 06:16:49,2019-05-28 14:48:48,1,6,5
Issue#3482 RFC1123 Compliant InternetDomainName Test Cases,cla: yes,,,"WilliamCollishaw: RFC1123 compliant InternetDomainName test cases Add tests to prove URLs with leading digits are valid and containing only digits are valid.
#1872 was resolved at some point from 2014 to now without the issue getting closed. This PR adds test cases proving this issue can be closed. Some sample real domains from related to these tests would be www.9gag.com and www.9292.nl 



              The text was updated successfully, but these errors were encountered:
              WilliamCollishaw: @cpovirk I believe #1872 can be closed now  frank-dspeed: LGTM +1  ",2019-05-25 17:08:02,2019-06-03 15:25:52,2,2,3
Issue#3483 Replace maven prerequisites with the enforcer plugin,cla: yes,,,"WilliamCollishaw: As of Maven version 3.5 the prerequisites tag was deprecated. Adds minimum required maven and java version into the parent poms which gets inherited by all children. The deprecated prerequisites tag does not get inherited by children (reference) Additionally bump the minimum maven version requirement from 3.0.3 to 3.0.5 to prevent the vulnerable version 3.0.4 ever being used. Sample error messages when invalid versions are used: In both cases the build will fail. Update specific Java version can be specified, for example the following would require Java 8 update 211:
<version>1.8.0-211</version>  ",2019-05-25 20:01:35,2019-06-03 15:25:53,2,2,2
Issue#3484 Update documentation to refer correct method name.,cla: yes,,,"AnuragPorwal: https://docs.oracle.com/javase/8/docs/api/java/util/Map.html#getOrDefault-java.lang.Object-V-  googlebot: Thanks for your pull request. It looks like this may be your first contribution to a Google open source project (if not, look below for help). Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA). 📝 Please visit https://cla.developers.google.com/ to sign. Once you've signed (or fixed any issues), please reply here (e.g. I signed it!) and we'll verify it. ℹ️ Googlers: Go here for more info.  AnuragPorwal: I signed it!  googlebot: CLAs look good, thanks! ℹ️ Googlers: Go here for more info.  AnuragPorwal: Fixed in 1b6e406 .
Not required anymore.  ",2019-05-26 04:41:41,2019-05-28 23:00:54,1,1,2
Issue#3485 Clarify behavior of `ImmutableList#copyOf` for null argument.,cla: yes,,,"AnuragPorwal: 
No description provided.
 



              The text was updated successfully, but these errors were encountered:
              ljacqu: Afaik this is the behavior of all ImmutableCollection types. The class javadoc on ImmutableList explicitly refers to the ImmutableCollection which mentions this at the top. So these changes don‘t seem necessary.  cpovirk: The factories are tested by other automated null tests, so let's not add more tests. The existing doc is trying to say that the methods reject null elements, but it's saying it poorly, so thanks for raising this. How about this...? That skips mentioning that elements itself might be null, but we always skip that, preferring to annotate the parameters that can be null with @Nullable. (Otherwise, nearly all of our methods would have @throws NullPointerException if x, y, or z is null.)  ",2019-05-26 07:06:57,2019-06-06 15:06:20,2,1,4
Issue#3486 Moe Sync,"cla: yes, internal-sync",,,"ronshapiro: This code has been reviewed and submitted internally. Feel free to discuss on the PR and we can submit follow-up changes as necessary.  Add a link back to the goodtime rate bug.
 5750fb6  Copy Durations.saturatedToNanos(Duration) to package-private c.g.c.u.c.Internal so it can be used by the concurrent package (and in Guava).
 #goodtime 568cbb6  Tighten the GoodTime suppression locations in RateLimiter.
 #goodtime 0df55a9  Add Duration-based overloads to Uninterruptibles.
 #goodtime RELNOTES=Add Duration-based overloads to Uninterruptibles. e194e75  Always complete TimeoutFuture, even if toString() throws
 6c09c17  Add Duration-based overloads to MoreExecutors.
 #goodtime RELNOTES=Add Duration-based overloads to MoreExecutors. e2da132  Add Duration-based overloads to FluentFuture.
 #goodtime RELNOTES=Add Duration-based overloads to FluentFuture. 7f5390d  Add Duration-based overloads to Futures.
 #goodtime RELNOTES=Add Duration-based overloads to Futures. 070e07d  Add Duration-based overloads to AbstractScheduledService.
 #goodtime RELNOTES=Add Duration-based overloads to AbstractScheduledService. e7a7a1f  Add Duration-based overloads to Service.
 #goodtime RELNOTES=Add Duration-based overloads to Service. 76718f4  Add Duration-based overloads to ServiceManager.
 #goodtime RELNOTES=Add Duration-based overloads to ServiceManager. 6c6edfa  Remove CheckedFuture utilities from util.concurrent.Futures.
 d3dcc67  Add Duration-based overloads to RateLimiter.
 #goodtime RELNOTES=Add Duration-based overloads to RateLimiter. 7aee4f5  Add Duration-based overload to Monitor.
 #goodtime RELNOTES=Add Duration-based overload to Monitor. ac540c4  Define project build source encoding as UTF-8
 Closes #3465 196dd9e  Fix ""Apache License, Version 2.0"" spelling
 There are many Java libraries licensed under ""Apache License, Version 2.0"" that do not use its official spelling.
This causes issues like https://issues.apache.org/jira/browse/MPIR-382: with every library defining its own spelling, it's difficult in large projects to have a clear view of all licenses in use.
This PR changes the license spelling to the official one, as advised by Maven developers. Closes #3471 eb8695c  Fix Streams.zip documentation typo.
 8cc9e91  Add MediaType for ""application/geo+json"".
 via #3243 RELNOTES=Add MediaType for ""application/geo+json"". b47e9ba  Upgrade maven-javadoc-plugin to 3.1.0.
 Fixes #3478. 34b7a1e  Add Cross-Origin-Resource-Policy header name constants.
 Details https://fetch.spec.whatwg.org/#cross-origin-resource-policy-header RELNOTES=Add Cross-Origin-Resource-Policy header to library. 161241d  Fix Javadoc links.
 Fixes #3481 86be2d1  Update documentation to refer correct method name.
 https://docs.oracle.com/javase/8/docs/api/java/util/Map.html#getOrDefault-java.lang.Object-V- RELNOTES=N/A a6f7253  googlebot: So there's good news and bad news. 👍 The good news is that everyone that needs to sign a CLA (the pull request submitter and all commit authors) have done so.  Everything is all good there. 😕 The bad news is that it appears that one or more commits were authored or co-authored by someone other than the pull request submitter.  We need to confirm that all authors are ok with their commits being contributed to this project.  Please have them confirm that here in the pull request. Note to project maintainer: This is a terminal state, meaning the cla/google commit status will not change from this state. It's up to you to confirm consent of all the commit author(s), set the cla label to yes (if enabled on your project), and then merge this pull request when appropriate. ℹ️ Googlers: Go here for more info.  googlebot: A Googler has manually verified that the CLAs look good. (Googler, please make sure the reason for overriding the CLA status is clearly documented in these comments.) ℹ️ Googlers: Go here for more info.  ",2019-05-28 14:06:37,2019-05-28 14:48:49,22,36,6
Issue#3487 Fix Javadoc.,cla: yes,,,"AnuragPorwal: 
No description provided.
 



              The text was updated successfully, but these errors were encountered:
              ",2019-05-29 15:52:09,2019-06-03 15:25:53,2,1,2
Issue#3489 MapMakerInternalMap - Remove redundant if statement,"type=enhancement, package=collect, status=triaged, cla: yes",,cpovirk,WilliamCollishaw: Null check is redundant  ,2019-06-01 20:17:26,2019-06-03 15:25:53,2,2,4
Issue#3490 Upgrade maven-gpg-plugin to 1.6,cla: yes,,,"WilliamCollishaw: Latest maven-gpg-plugin version has been at 1.6 since 2015. Bumping up to this latest version from version 1.1, released in 2010.
Versions bypassed:  nick-someone: Marking as fixed by e3090f0  ",2019-06-01 20:46:26,2019-06-06 15:10:13,1,2,3
Issue#3492 LocalCache clean up,cla: yes,,,"WilliamCollishaw: Remove two redundant if statements
Removed some unused imports
Comment grammar fixes 



              The text was updated successfully, but these errors were encountered:
              ljacqu: I don‘t really get the point of these changes. To me it seems that this was just the IDE showing up warnings tbh and that it was fixed without really considering if it makes it easier to read or not  nick-someone: I appreciate raising this PR. In the particular circumstances here, I think we'll keep the if conditions as is, as their current structure makes the conditions they intend to check more clear. I will fix the typo for 'accommodate' you raised though, thanks!  ",2019-06-04 06:03:17,2019-06-06 15:22:06,2,2,4
Issue#3495 Moe Sync,"cla: yes, internal-sync",,,"ronshapiro: This code has been reviewed and submitted internally. Feel free to discuss on the PR and we can submit follow-up changes as necessary.  Remove `@Beta` from `setFuture`.
 RELNOTES=Removed @Beta from setFuture. 2c717c0  Upgrade maven-gpg-plugin to 1.6
 Fixes github.com//pull/3490 c10a164  Clarify behavior of `ImmutableList#copyOf` for null argument.
 Fixes #3485 6f655fb  Make the incidentEdges() documentation a little bit more clear.
 b0a0509  Simplify implementation of Graphs.reachableNodes()
 b917492  Make the adjacentNodes() documentation a little bit more clear.
 7a5a43b  Delete deprecated callWithTimeout().
 fa13235  googlebot: So there's good news and bad news. 👍 The good news is that everyone that needs to sign a CLA (the pull request submitter and all commit authors) have done so.  Everything is all good there. 😕 The bad news is that it appears that one or more commits were authored or co-authored by someone other than the pull request submitter.  We need to confirm that all authors are ok with their commits being contributed to this project.  Please have them confirm that here in the pull request. Note to project maintainer: This is a terminal state, meaning the cla/google commit status will not change from this state. It's up to you to confirm consent of all the commit author(s), set the cla label to yes (if enabled on your project), and then merge this pull request when appropriate. ℹ️ Googlers: Go here for more info.  googlebot: A Googler has manually verified that the CLAs look good. (Googler, please make sure the reason for overriding the CLA status is clearly documented in these comments.) ℹ️ Googlers: Go here for more info.  ",2019-06-06 13:54:32,2019-06-06 15:06:20,7,20,6
Issue#3497 Upgrade animal sniffer version to 1.18,"status=triaged, cla: yes",cpovirk,cpovirk,"WilliamCollishaw: Version 1.18 resolves a JDK8 compatibility issue, resource leak and ends support for JDK 7 



              The text was updated successfully, but these errors were encountered:
              WilliamCollishaw: Oops, forgot about the android JDK 7 compilation. Should I remove the upgrade for Android or close PR?  cpovirk: The JDK 7 failure appears to be a case in which Animal Sniffer is catching a real problem (implicit use of ReflectiveOperationException) that it was missing before. That's interesting because I've seen Animal Sniffer catch this problem in the past -- though maybe it was in a different project that was using a newer version? I'll take care of the fix.  cpovirk: Oh, wait: I think what we saw was that Animal Sniffer caught the problem _if a method was called on the ReflectiveOperationException, which is the only scenario in which we'd seen it cause problems in practice. But we reasoned that other references to ReflectiveOperationException could cause problems (maybe for debugging or something) that we just hadn't seen yet, so it's nice that Animal Sniffer detects them now.  ",2019-06-07 04:33:22,2019-06-30 14:58:50,1,2,4
Issue#3498 Remove single character string concatenation - EventBus,cla: yes,cgdecker,cgdecker,"WilliamCollishaw: Minor performance improvement.
Stack Overflow discussion on this optimization 



              The text was updated successfully, but these errors were encountered:
              cgdecker: The performance impact of this is going to be effectively 0; I don't think it's worth making this change.  ",2019-06-07 05:20:06,2019-06-10 15:43:19,1,2,3
Issue#3499 Fix typo in 'testFindClassesToTest_ignoreUnderscores' function name,cla: yes,,kluever,"WilliamCollishaw: 
No description provided.
 



              The text was updated successfully, but these errors were encountered:
              kluever: Thanks, I'll get this submitted internally shortly.  ",2019-06-08 06:10:26,2019-06-10 14:24:54,1,2,3
Issue#3500 Fix typo in 'stoppingCount' variable name,"status=triaged, cla: yes",cpovirk,cpovirk,"WilliamCollishaw: 
No description provided.
  ",2019-06-08 06:10:53,2019-06-30 14:58:50,1,2,4
Issue#3502 Fixed double slicing ByteSource,"status=triaged, package=io, cla: yes, P3",,cgdecker,"Maxi17: Fixes #3501 However, there is still a problem in this method. If this.offset + this.length > Long.MAX_VALUE, it will overflow. These are 4 possible approaches:  googlebot: Thanks for your pull request. It looks like this may be your first contribution to a Google open source project (if not, look below for help). Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA). 📝 Please visit https://cla.developers.google.com/ to sign. Once you've signed (or fixed any issues), please reply here (e.g. I signed it!) and we'll verify it. ℹ️ Googlers: Go here for more info.  Maxi17: I signed it!  googlebot: CLAs look good, thanks! ℹ️ Googlers: Go here for more info.  ",2019-06-12 15:37:03,,1,2,5
